scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,4,6,425,1,0.6062573589348791,0.5490557920478217
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,5,6,502,1,0.5743983477011494,0.4936627668308703
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,6,6,500,1,0.6170623671155209,0.546491849751949
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,2635,6,0.5863730000769789,0.5156740189781178
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),1,12,361,1,0.5617574864997545,0.466593028964163
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),2,12,404,1,0.5934697441706788,0.5264010824758488
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),3,12,443,1,0.5924229522606164,0.5251332197989342
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),4,12,425,1,0.5988361561452766,0.5576034779458382
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),5,12,502,1,0.5714413998357963,0.49186678981937604
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),6,12,500,1,0.5974486180014174,0.5223245924875974
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,2635,6,0.6891006404477408,0.5170644000200157
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,1,12,361,1,0.6792525773195877,0.49138438880706925
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,404,1,0.6844496365524403,0.45070644136064697
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,443,1,0.6992872054057024,0.5720760314233918
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,425,1,0.6647750430214654,0.5343492437279231
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,5,12,502,1,0.690456947865353,0.5402811986863711
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,6,12,500,1,0.7102586817859674,0.5024805102763997
allplus,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,2635,6,0.6213517514345407,0.5231978584537521
allplus,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),1,36,361,1,0.6305535100638193,0.5018654884634266
allplus,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),2,36,404,1,0.5947166367727115,0.4476855785267
allplus,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),3,36,443,1,0.6461194583310443,0.5716365434269077
allplus,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),4,36,425,1,0.6333552214473327,0.548885970473689
allplus,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),5,36,502,1,0.5932112068965517,0.48768472906403937
allplus,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),6,36,500,1,0.6323352232459248,0.5705173635719348
allplus,Nielsen,per-maze,"State bigrams, K=6",Random forest,pooled,36,2635,6,0.6649988665137986,0.5084860923406126
allplus,Nielsen,per-maze,"State bigrams, K=6",Random forest,1,36,361,1,0.6619354442808051,0.45078546882670595
allplus,Nielsen,per-maze,"State bigrams, K=6",Random forest,2,36,404,1,0.6823806601843985,0.4535227666068788
allplus,Nielsen,per-maze,"State bigrams, K=6",Random forest,3,36,443,1,0.6790535900675713,0.5542080975663353
allplus,Nielsen,per-maze,"State bigrams, K=6",Random forest,4,36,425,1,0.6431256226791051,0.5469160402137487
allplus,Nielsen,per-maze,"State bigrams, K=6",Random forest,5,36,502,1,0.6532673953201971,0.5004874794745484
allplus,Nielsen,per-maze,"State bigrams, K=6",Random forest,6,36,500,1,0.6710843373493975,0.5294117647058824
allplus,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,2635,6,0.7172680666114278,0.49667292658073603
