scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,764,1,0.6024717972121474,0.5440235710454047,0.0248196119466697,0.03708583124111355
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,742,1,0.5497887893035557,0.4994196297384661,0.014706418765488841,0.04131764205752197
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,882,1,0.5424165260366443,0.5165200096432015,0.010750445741462753,0.01868439226951899
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,868,1,0.5566180468924927,0.4732463295269168,0.01192258279318354,0.03861140134892469
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,4547,6,0.935395133886545,0.5126872961820933,0.00903340012699241,0.04141427458604637
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,626,1,0.9313208517255216,0.5545119382022472,0.008098181482357029,0.024069746654111764
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,665,1,0.9320014662756598,0.4748638458315878,0.00812924167519183,0.03978247049988395
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,764,1,0.929708204229017,0.5227543855435192,0.00446200590464235,0.013333094416377115
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,742,1,0.9352501469291801,0.4773435204231561,0.009935151449294027,0.040669912139444216
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,5,12,882,1,0.9391227700096432,0.5358305207328833,0.007098568376323003,0.020805592708329896
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,6,12,868,1,0.9422752135111794,0.5093369158430093,0.011840431347214336,0.04031330141123011
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,4547,6,0.5443642755291482,0.516387176362607,0.01592885457629244,0.034947855102678574
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,626,1,0.547937775882825,0.512966492776886,0.0036055122510622447,0.0357256987786977
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,665,1,0.5398512777545036,0.5168272587627426,0.012742927123530461,0.04684510078219873
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,764,1,0.5609422413309955,0.5100561253492822,0.012560379473034414,0.042253248080119196
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,742,1,0.5443983250073464,0.527740229209521,0.008359177489084582,0.028758374890548305
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),5,6,882,1,0.5240522540983606,0.5026277724204435,0.016839204681467265,0.03528552878797666
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),6,6,868,1,0.5512634743946518,0.5283657998272718,0.013959265073465801,0.02937648770797741
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,4547,6,0.5691526246943824,0.5141882159781372,0.013285003994104929,0.043811476498971415
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,1,6,626,1,0.5775168037720706,0.49523475120385235,0.010836057058416929,0.05547401528918002
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,2,6,665,1,0.5692291579388353,0.483696411115766,0.007706508241055584,0.03584795809153216
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,3,6,764,1,0.5866019743953115,0.5299922337248497,0.009849429558867544,0.03810476541933575
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,4,6,742,1,0.562020643549809,0.5157581545694975,0.007388929621854881,0.03698938623237859
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,5,6,882,1,0.5558446841851494,0.5123432979749276,0.00495233082616669,0.04266793014188413
