scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,159,1,0.9784172661870504,0.5318345323741007,0.008088377692719785,0.06589140698624708
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,167,1,0.871606334841629,0.6039969834087482,0.010188300145430752,0.07684761582974059
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,608,4,0.6848762345816196,0.5187357089038603,0.049802180426468286,0.06911384737267608
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,127,1,0.7308868501529052,0.4367991845056065,0.03473563017565447,0.04213940235796391
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,155,1,0.6550760286225403,0.5520274299344067,0.02383227607200593,0.0869085155339846
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,159,1,0.7201438848920864,0.5129496402877698,0.04548377642365886,0.03906205820555853
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,167,1,0.6439668174962292,0.5556561085972851,0.02602264287631341,0.03830218383363304
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,608,4,0.9513500408048371,0.5143301627753002,0.037950739775276784,0.05716579738330111
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,127,1,0.9666156982670744,0.47706422018348627,0.03074375078187061,0.00048399739772724806
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,155,1,0.9614266547406082,0.5110316040548599,0.01264294401630113,0.04997152377796427
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,159,1,0.9820593525179857,0.535431654676259,0.019002061114144632,0.06562799728471691
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,167,1,0.9011500754147813,0.5256410256410257,0.025368556115988507,0.07927982588808917
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,608,4,0.6138112112231129,0.5441197464842774,0.044057919101991236,0.11416268982321155
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,127,1,0.6131498470948011,0.5252293577981652,0.0381890372429446,0.11671828304242608
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,155,1,0.572711687537269,0.49075730471079304,0.03729973380041288,0.09172347173037115
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,159,1,0.6205935251798561,0.5088129496402878,0.048826635005669014,0.13425958505968238
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,167,1,0.6460030165912518,0.641628959276018,0.022741570569979407,0.065721242806987
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,608,4,0.6632395340558607,0.5679232144651878,0.027575813088880054,0.1039114309899595
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,1,6,127,1,0.6502293577981652,0.5104485219164119,0.024961129998225137,0.05520461885424216
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,2,6,155,1,0.6663312462731068,0.5295169946332737,0.013471006846803331,0.04808680240375202
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,3,6,159,1,0.6475719424460431,0.5341726618705036,0.034730952536039285,0.14176167282480187
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,4,6,167,1,0.6851809954751131,0.6794117647058824,0.020667713388917985,0.05971726803753158
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,608,4,0.6727655650670363,0.5290494360988793,0.04558553132233525,0.09104369539854983
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),1,12,127,1,0.7075688073394495,0.4691641182466871,0.03299743048407754,0.1186824140490448
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),2,12,155,1,0.6756112104949314,0.5253428741800835,0.045478930469389924,0.10130583946543349
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),3,12,159,1,0.6864208633093525,0.5408273381294963,0.043328916193345265,0.08320542169394093
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),4,12,167,1,0.630656108597285,0.5668174962292609,0.029844932313543786,0.04424890041625448
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,608,4,0.7518818582166529,0.5452891324539144,0.05083975779804345,0.1281743134058065
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,1,12,127,1,0.7912844036697247,0.42686034658511723,0.04759566869022297,0.06401128621601962
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,155,1,0.7338998211091234,0.5336911150864639,0.05428222798325344,0.13624404274957078
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,159,1,0.7810251798561151,0.6417266187050359,0.03470920509556662,0.13974258920474933
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,167,1,0.7108597285067874,0.5542986425339367,0.02043749722414729,0.07659875704584558
